Permalink,Comment
1463681577145919,Japan 🇯🇵 thinks for themselves. The don’t rely on The Fake News Media.
1463681577145919,Because NY sent sick individuals back into nursing homes. Same with CA and WA. It would be like putting a human bomb in those places ...smh. if you look at overall deaths in the us majority are elderly and with underlying conditions and in nursing home/retirement homes.
1463681577145919,"Should we start trolling people in states that aren't open yet and post pics of the things we've been doing the past two months? I know I've been floating on the river, gone to happy hour, dined in at restaurants, went antiquing, etc"
1465751750272235,This is old video
1465751750272235,Those are police... not military. Thats a humble. Not a military vehicle
1465751750272235,Also..... shoot them back. Woth real bullets. Fuck this
1465751750272235,Didn’t this video circulate a couple months ago
1465751750272235,"Shaun King, huh?  The stupid mother fucker who thinks he's black."
1465751750272235,"Report this false video to admins, it don't belong here and is only done so to cause more drama"
1465751750272235,The comments alone made it worth it.🤣😂
1465751750272235,That’s not a tank you dumbass
1465751750272235,Shaun king is a poser and wanna be
1465751750272235,Cowards hiding behind a mask! If you believe your cause is just them show your face. Rioters bought and paid for.
1465751750272235,"I don't agree that these people at home should not be allowed to sit on their porch, but however, if these guys shout ""go inside now!""  as an ex military, these people on the porch shouldn't have just sat there longer."
1465751750272235,Take this fake shit down.
1465751750272235,"So we’re going to bitch about these “animals” and the damage they’re causing, but then whine when someone comes to clean things up? Right ..."
1465751750272235,This is exactly what I was taking about in my post the other day and It’s happening not all over the place but I see it happening and it’s very scary to watch and see our country the land of the free go down the road.
1465751750272235,Fake news
1465751750272235,Nice.
1465751750272235,Fake
1465751750272235,Shoot back
1465751750272235,EXCELLENT!
1465751750272235,lol antifa bitches don’t like that huh? Lmmfao that’s what you clowns wanted that’s what you get don’t cry now
1465751750272235,Bullshit!
1465751750272235,Right. Sounds like fake news
1465751750272235,Hey! Shaun! I havent seen any paint thrown at residents? Do you have another video that you are not showing us? FAKE NEWS!😡😡😡 In other words: LIES!
1465751750272235,"If TNG tells you to go inside , I highly suggest to go inside ,this isn't normal"
1465751750272235,This is old video and nothing to do with the riots of today
1465751750272235,"Hey Shaun, ya, um, that wasn't a tank."
1465751750272235,🤣
1465751750272235,"It's about time to get serious. If you are getting orders from anyone in a uniform, you best do what he says!"
1465751750272235,And that may teach some people to do what they are told after being told numerous times!
1465751750272235,This group and Facebook allows this fraudulent post to stay up - too funny Or not funny... dangerous
1465751750272235,"That's a Humvee , not quite a tank"
1465751750272235,Where and when??????? conveniently left out of the post. I call bullshit.
1465751750272235,Libtard-Nation Governors are getting what they want either way.
1465751750272235,Well they didn’t go inside. And those were cops
1465751750272235,They are using the black card for everything now pathetic
1465751750272235,"I heard ""get inside now"" not ""Light them up""  He's a damned liar"
1465751750272235,They did not listen to direction from them. They were told 8 times to get inside the house.. They did not listen.. they got what was commin to them.
1465751750272235,where is the tank?
1465751750272235,"Dan Russo they can tell me 20 time, who the fuck are they? Fuck them those are enemy combatants"
1465751750272235,Please explain to me how they are enemy combatants when they are clearly in my opinion on the way to stop riots. Tensions are high.. people are loosing there livelihoods and property is being destroyed by antifa and BLM. Not to mention beatings and kil…See More
1465751750272235,Awesome!! 👏🏻. LAW AND ORDER has arrived! Thank you President Trump!🇺🇸
1465751750272235,"Shooting rubber bullets and pepper rounds at people standing on tneir porches isn't law and order,  its enemy combatants challenging the weak to be live free so they can slaughter them,  Nothing More, if any officer in that video was worth being allowe…See More"
1465751750272235,They were told to get inside and they chose not to take heed....
1465751750272235,"When did America become a house arrest country? As long as your not part of the problem you shouldn't have to leave your porch "" when ordered""!!"
1465751750272235,Where did this happen?
1465751750272235,Terrible
1465751750272235,"Oh good Lord stop it now. The dayum post is days old.... We have had bigger 💩go down since this... It's very simple: if bad is approaching your neighborhood,get your selves in your domain and remain safe. Don't try and buck the system."
1465751750272235,"No you dumb ass, thats what peasants do you wanna be a fucking peasants fine but don't expect the rest of us to put up with it"
1465751750272235,Nobody wanted this.  The thugs that wouldn’t listen to reason is causing it.  There is a curfew.  That means you MUST be in your house.  The soldiers or police are just doing their job.  Get made at the thugs.  They brought this down on our heads.
1463569313823812,If they edit they need to be classified as a publisher   Very simple
1463569313823812,If you think prez is going to save you hahahaha funny look up the richest people in the world tend a meeting about what to do with you people me you peasants slaves common folk if you think I'm joking or  making it up just wait it's coming real soon yo…See More
1463569313823812,Well it's about damn time.
